time	twsa-gapped	twsa-interp
2002-01-31		
2002-02-28		
2002-03-31		
2002-04-30	7.201389317555859	7.201389317555859
2002-05-31	6.438944949362962	6.438944949362962
2002-06-30		4.392611959095894
2002-07-31		2.4386368087973342
2002-08-31	1.953265960509965	1.953265960509965
2002-09-30	2.641480930601947	2.641480930601947
2002-10-31	0.5040740285636209	0.5040740285636209
2002-11-30	-1.0889348783034958	-1.0889348783034958
2002-12-31	-3.7006278235045564	-3.7006278235045564
2003-01-31	-1.319073975684186	-1.319073975684186
2003-02-28	2.441258656554692	2.441258656554692
2003-03-31	7.410697899221	7.410697899221
2003-04-30	7.073231937023646	7.073231937023646
2003-05-31	9.348607903104185	9.348607903104185
2003-06-30		8.421394597189048
2003-07-31	5.612615762502584	5.612615762502584
2003-08-31	4.260888866059686	4.260888866059686
2003-09-30	3.1322211262624506	3.1322211262624506
2003-10-31	1.1041623575533455	1.1041623575533455
2003-11-30	-0.7922517081775108	-0.7922517081775108
2003-12-31	-0.7930953131730598	-0.7930953131730598
2004-01-31	0.44161442436498066	0.44161442436498066
2004-02-29	3.21604524987868	3.21604524987868
2004-03-31	0.9107581142419827	0.9107581142419827
2004-04-30	1.5766783310604033	1.5766783310604033
2004-05-31	1.7098513394501798	1.7098513394501798
2004-06-30	-1.0775720107081947	-1.0775720107081947
2004-07-31	-0.34196193810350234	-0.34196193810350234
2004-08-31	-1.3997001987121251	-1.3997001987121251
2004-09-30	-1.7507865346767124	-1.7507865346767124
2004-10-31	-3.0831864393193973	-3.0831864393193973
2004-11-30	-3.3947817908804723	-3.3947817908804723
2004-12-31	-4.4630339930155465	-4.4630339930155465
2005-01-31	-1.533682862710133	-1.533682862710133
2005-02-28	4.44135305937636	4.44135305937636
2005-03-31	9.158293487283714	9.158293487283714
2005-04-30	9.547644570065463	9.547644570065463
2005-05-31	9.644952237357854	9.644952237357854
2005-06-30	7.741160268324485	7.741160268324485
2005-07-31	7.189149407536011	7.189149407536011
2005-08-31	4.0353549218756175	4.0353549218756175
2005-09-30	2.709399541826624	2.709399541826624
2005-10-31	0.8837609675823296	0.8837609675823296
2005-11-30	-0.4355505846302466	-0.4355505846302466
2005-12-31	-2.8083779001097633	-2.8083779001097633
2006-01-31	-0.555610296258067	-0.555610296258067
2006-02-28	2.25197081175693	2.25197081175693
2006-03-31	5.268012653810364	5.268012653810364
2006-04-30	4.592864841808113	4.592864841808113
2006-05-31	1.582662676539697	1.582662676539697
2006-06-30	-0.09995379266338202	-0.09995379266338202
2006-07-31	-0.05599670277898257	-0.05599670277898257
2006-08-31	1.3899748062182313	1.3899748062182313
2006-09-30	0.8002166601374396	0.8002166601374396
2006-10-31	-3.5513719305969476	-3.5513719305969476
2006-11-30	-3.4867674931346584	-3.4867674931346584
2006-12-31	-0.3712795952443659	-0.3712795952443659
2007-01-31	-0.41184048701677617	-0.41184048701677617
2007-02-28	1.5059801317252486	1.5059801317252486
2007-03-31	7.095810683761524	7.095810683761524
2007-04-30	5.853394001634185	5.853394001634185
2007-05-31	3.5424089988473675	3.5424089988473675
2007-06-30	2.6991311191933955	2.6991311191933955
2007-07-31	2.311929619992845	2.311929619992845
2007-08-31	1.0628695317615233	1.0628695317615233
2007-09-30	-0.7412456112277933	-0.7412456112277933
2007-10-31	-3.719676910516157	-3.719676910516157
2007-11-30	-6.192755488722411	-6.192755488722411
2007-12-31	-6.09975761959598	-6.09975761959598
2008-01-31	-3.5819398376004314	-3.5819398376004314
2008-02-29	-0.70916501406685	-0.70916501406685
2008-03-31	-0.14582316373224377	-0.14582316373224377
2008-04-30	-0.020735394276748115	-0.020735394276748115
2008-05-31	-0.9044866040506795	-0.9044866040506795
2008-06-30	-3.0373947753095814	-3.0373947753095814
2008-07-31	-1.7631287977683596	-1.7631287977683596
2008-08-31	-0.2978553410527521	-0.2978553410527521
2008-09-30	-2.079726295083638	-2.079726295083638
2008-10-31	-4.09928274037381	-4.09928274037381
2008-11-30	-5.5257380355043	-5.5257380355043
2008-12-31	-5.268542866349787	-5.268542866349787
2009-01-31	-3.5231339117448233	-3.5231339117448233
2009-02-28	-1.20152888196208	-1.20152888196208
2009-03-31	1.586611461266324	1.586611461266324
2009-04-30	3.0674061691458956	3.0674061691458956
2009-05-31	2.0234355720589066	2.0234355720589066
2009-06-30	-1.0703211687107625	-1.0703211687107625
2009-07-31	-1.2737482104505515	-1.2737482104505515
2009-08-31	-3.5815260314057067	-3.5815260314057067
2009-09-30	-4.173143918556742	-4.173143918556742
2009-10-31	-7.546521652783439	-7.546521652783439
2009-11-30	-8.239393063303124	-8.239393063303124
2009-12-31	-6.222669789455707	-6.222669789455707
2010-01-31	-5.583997903896547	-5.583997903896547
2010-02-28	-2.5758954546393773	-2.5758954546393773
2010-03-31	-1.714157536527538	-1.714157536527538
2010-04-30	-3.187077925865889	-3.187077925865889
2010-05-31	-2.9168477796809547	-2.9168477796809547
2010-06-30	-2.137659369262968	-2.137659369262968
2010-07-31	-1.5569320471910626	-1.5569320471910626
2010-08-31	3.288944460872548	3.288944460872548
2010-09-30	1.0193748204989723	1.0193748204989723
2010-10-31	-1.5588292808505004	-1.5588292808505004
2010-11-30	-4.184659105518003	-4.184659105518003
2010-12-31	-5.044678249752865	-5.044678249752865
2011-01-31		-2.457503917703762
2011-02-28	0.7163126450310539	0.7163126450310539
2011-03-31	1.9389852346458776	1.9389852346458776
2011-04-30	2.550429675473298	2.550429675473298
2011-05-31	0.24891016125481885	0.24891016125481885
2011-06-30		-1.1615262296925635
