time	TWSA
2002-01-31	
2002-02-28	
2002-03-31	
2002-04-30	-10.451692468501827
2002-05-31	-12.14965157601202
2002-06-30	
2002-07-31	
2002-08-31	-2.461333501662382
2002-09-30	3.880382916119558
2002-10-31	8.876825893356934
2002-11-30	10.899513047833208
2002-12-31	3.9647294459067504
2003-01-31	-0.7924418699690032
2003-02-28	-1.2447656758478902
2003-03-31	-8.835208577878523
2003-04-30	-16.43995489075594
2003-05-31	-16.563802176161143
2003-06-30	
2003-07-31	-8.725091546676893
2003-08-31	-2.015250486251049
2003-09-30	0.5106172440219283
2003-10-31	5.597626931197874
2003-11-30	5.140736667285977
2003-12-31	-3.4021567770606125
2004-01-31	-4.468630125094266
2004-02-29	-11.313545374279634
2004-03-31	-22.59238703418634
2004-04-30	-24.141918611058877
2004-05-31	-18.509408095550892
2004-06-30	-8.693350076514545
2004-07-31	-5.403892040971556
2004-08-31	-2.5274147579782076
2004-09-30	0.1317424969476226
2004-10-31	6.688610215260244
2004-11-30	14.582347598875629
2004-12-31	8.544503784618662
2005-01-31	-4.0052797923074825
2005-02-28	-8.559349509961226
2005-03-31	-16.571008029687558
2005-04-30	-16.328532896470957
2005-05-31	-17.79137210414182
2005-06-30	-14.351446548716506
2005-07-31	-9.3332059629409
2005-08-31	-1.859118596990406
2005-09-30	2.35905393662969
2005-10-31	10.013739603401866
2005-11-30	21.882091600123587
2005-12-31	23.740647394532342
2006-01-31	13.617103410614444
2006-02-28	5.095510422301194
2006-03-31	0.7398472796040952
2006-04-30	-6.32548474548435
2006-05-31	-11.478145460012987
2006-06-30	-6.546444734680907
2006-07-31	-0.9267873867933001
2006-08-31	3.0247616620995603
2006-09-30	4.871903804282609
2006-10-31	10.263337229373198
2006-11-30	16.306440602181446
2006-12-31	9.665418938816115
2007-01-31	4.579099477045935
2007-02-28	-1.8549970897952692
2007-03-31	-7.601556564790915
2007-04-30	-14.399767287356871
2007-05-31	-15.549478160469636
2007-06-30	-13.053828756480303
2007-07-31	-1.9457161704515784
2007-08-31	5.0993355544625425
2007-09-30	7.859661632670163
2007-10-31	10.577909471678446
2007-11-30	18.34798137526219
2007-12-31	12.407735282442308
2008-01-31	13.535749340135409
2008-02-29	2.9025406965783613
2008-03-31	1.7632088059583662
2008-04-30	-2.4281133324777664
2008-05-31	-7.272005363883995
2008-06-30	-5.699399395081819
2008-07-31	-2.266547059115725
2008-08-31	2.048792018835467
2008-09-30	7.370011286326257
2008-10-31	9.407163491268717
2008-11-30	14.187148813049935
2008-12-31	19.925267540346727
2009-01-31	6.714550084209146
2009-02-28	-2.543315420995536
2009-03-31	-5.940271256642538
2009-04-30	-12.149717598152538
2009-05-31	-13.921299817988082
2009-06-30	-11.122508310238524
2009-07-31	-4.4210711315204385
2009-08-31	-0.7906018190811439
2009-09-30	5.821058155469857
2009-10-31	9.565575865050349
2009-11-30	14.723196651480198
2009-12-31	16.323870264806732
2010-01-31	12.402640490067771
2010-02-28	2.3363498099181497
2010-03-31	-5.935350471577147
2010-04-30	-10.309480972969382
2010-05-31	-13.85929792519973
2010-06-30	-11.971143682166817
2010-07-31	-4.272022833309758
2010-08-31	1.3149903245863725
2010-09-30	4.708713905286239
2010-10-31	9.776300256636372
2010-11-30	15.86986605278765
